godina;oib;naziv;iznos_eur;broj_isplata;udio_posto
2025;03744272526;GRADSKO STAMBENO KOMUNALNO GOSPODARSTVO D.O.O.;20090847.98;605;1.09
2025;74971361430;STRABAG DOO;20002388.42;26;1.09
2025;93571946376;KNJIŽNICE GRADA ZAGREBA;19966175.36;82;1.09
2025;40838744815;BBR ADRIA D.O.O.;18984766.03;21;1.03
2025;10852199405;HRVATSKO NARODNO KAZALIŠTE;12504287.18;60;0.68
2025;77931216562;URIHO USTANOVA ZA PROF.REHABILITACIJU I ZAP.OSOBA S INVAL.;12334115.91;96;0.67
2025;63073332379;HEP OPSKRBA D.O.O.;11172032.20;377;0.61
2025;02535697732;PRIVREDNA BANKA ZAGREB DD;11048723.19;69;0.60
2025;89436606278;MEKATRONIK URETIM TEKNOLOJI MUHENDISLIK ANONIM SIRKETI;10092428.28;10;0.55
2025;14482540987;IZGRADNJA FUTURA D.O.O.;9249142.07;36;0.50
2025;76370234816;ELICOM D.O.O.;8941105.83;49;0.49
2025;59569102212;ZAGREBAČKO GRADSKO KAZALIŠTE KOMEDIJA;8405712.74;109;0.46
2025;62485998118;HEDOM  D.O.O.;7946915.02;41;0.43
2025;38657725741;ZAGREBAČKA FILHARMONIJA;7350517.49;93;0.40
2025;07410147801;NILUFER YONETIM DANISMANLIGI INSAAT SANAYI TICARET ANONIM SI;7126392.60;13;0.39
2025;01471402891;ALU-KON DOO;6924000.00;1;0.38
2025;69262261098;USTANOVA ZOOLOŠKI VRT GRADA ZAGREBA;6725635.00;13;0.37
2025;70362197460;USTANOVA DOBRI DOM GRADA ZAGREBA;6670535.50;31;0.36
2025;81106567513;DV VRAPČE;6600417.24;110;0.36
2025;97345554668;DV BAJKA;6209042.61;98;0.34
2025;38262788673;GIP PIONIR D.O.O.;6141816.57;16;0.33
2025;31015599358;DV ŠEGRT HLAPIĆ;5913970.77;129;0.32
2025;13254939546;ZAGREBAČKO KAZALIŠTE MLADIH;5862365.80;131;0.32
2025;69476494959;DV GAJNICE;5526082.80;136;0.30
2025;31422239000;DV SESVETE;5445025.95;126;0.30
2025;88388890400;DV JARUN;5440367.43;94;0.30
2025;66494507454;DV SUNČANA;5401886.04;115;0.29
2025;20142998436;STORM COMPUTERS D.O.O.;5185673.00;43;0.28
2025;23901219315;GRADSKO DRAMSKO KAZALIŠTE GAVELLA;5175433.77;88;0.28
2025;78167252842;DV GRIGOR VITEZ;5163187.52;96;0.28
2025;95660678441;ZAGREBAČKI VELESAJAM DOO;5133919.70;445;0.28
2025;49823978318;DV TRNSKO;5020046.17;129;0.27
2025;42776586352;DV MARKUŠEVEC;4873792.50;123;0.27
2025;03864029789;DV ZAPRUĐE;4818714.21;136;0.26
2025;20169135633;DV TRATINČICA;4813673.02;126;0.26
2025;14774069475;DV EN TEN TINI;4807534.51;120;0.26
2025;61817894937;GRAD ZAGREB;4764821.53;1196;0.26
2025;22702558967;DV BUDUĆNOST;4729677.34;130;0.26
2026;82031999604;ZAGREBAČKI ELEKTRIČNI TRAMVAJ DOO;155640285.60;459;12.48
2026;85584865987;ZAGREBAČKI HOLDING D.O.O.;155528161.40;4111;12.47
2026;GDPR;Fizičke osobe (anonimizirano);98563508.84;6981;7.90
2026;18683136487;MINISTARSTVO FINANCIJA;58161796.01;547;4.66
2026;74971361430;STRABAG DOO;25796459.58;24;2.07
2026;59365213244;UPRAVLJANJE SPORTSKIM OBJEKTIMA;22417961.92;24;1.80
2026;23057039320;ERSTE STEIERMARKISCHE BANK;21817356.49;49;1.75
2026;73807462275;SPORTSKI SAVEZ GRADA ZAGREBA;18666666.69;7;1.50
2026;89931241548;KAMGRAD D.O.O.;16008036.52;6;1.28
2026;92963223473;ZAGREBAČKA BANKA  D.D. ZAGREB;15833682.66;135;1.27
2026;93571946376;KNJIŽNICE GRADA ZAGREBA;14931187.66;53;1.20
2026;92366589656;JAVNA VATROGASNA POSTROJBA GRADA ZAGREBA;13421092.93;49;1.08
2026;14482540987;IZGRADNJA FUTURA D.O.O.;11505587.86;26;0.92
2026;02535697732;PRIVREDNA BANKA ZAGREB DD;10306005.72;50;0.83
2026;83416546499;VODOOPSKRBA I ODVODNJA D.O.O.;9703542.61;6516;0.78
2026;03744272526;GRADSKO STAMBENO KOMUNALNO GOSPODARSTVO D.O.O.;9457468.30;341;0.76
2026;10852199405;HRVATSKO NARODNO KAZALIŠTE;8801157.23;34;0.71
2026;89436606278;MEKATRONIK URETIM TEKNOLOJI MUHENDISLIK ANONIM SIRKETI;7970582.95;8;0.64
2026;07410147801;NILUFER YONETIM DANISMANLIGI INSAAT SANAYI TICARET ANONIM SI;7833552.10;14;0.63
2026;77931216562;URIHO USTANOVA ZA PROF.REHABILITACIJU I ZAP.OSOBA S INVAL.;6401702.14;39;0.51
2026;76370234816;ELICOM D.O.O.;6047776.03;27;0.48
2026;59569102212;ZAGREBAČKO GRADSKO KAZALIŠTE KOMEDIJA;5993240.44;64;0.48
2026;94948888880;XELEMENT DOO SARAJEVO PODRUŽNICA ZAGREB;5910020.89;6;0.47
2026;63073332379;HEP OPSKRBA D.O.O.;5714518.55;178;0.46
2026;38657725741;ZAGREBAČKA FILHARMONIJA;5307086.04;60;0.43
2026;62485998118;HEDOM  D.O.O.;5285345.53;17;0.42
2026;70362197460;USTANOVA DOBRI DOM GRADA ZAGREBA;5081669.13;21;0.41
2026;81106567513;DV VRAPČE;4502230.05;65;0.36
2026;69262261098;USTANOVA ZOOLOŠKI VRT GRADA ZAGREBA;4338200.00;7;0.35
2026;97345554668;DV BAJKA;4291021.39;57;0.34
2026;78913530404;JUKIĆ - DAM D.O.O.;4229460.00;6;0.34
2026;91678676896;COMBIS D.O.O.;4003876.46;32;0.32
2026;13254939546;ZAGREBAČKO KAZALIŠTE MLADIH;3966218.21;70;0.32
2026;31015599358;DV ŠEGRT HLAPIĆ;3943664.61;76;0.32
2026;69476494959;DV GAJNICE;3888825.78;76;0.31
2026;88388890400;DV JARUN;3850386.74;57;0.31
2026;76109957666;DV UTRINA;3811155.99;78;0.31
2026;78167252842;DV GRIGOR VITEZ;3757225.82;56;0.30
2026;31422239000;DV SESVETE;3756433.68;68;0.30
2026;66494507454;DV SUNČANA;3754271.28;63;0.30
2026;23901219315;GRADSKO DRAMSKO KAZALIŠTE GAVELLA;3730446.48;55;0.30
2026;49823978318;DV TRNSKO;3575057.81;73;0.29
2026;00000000001;EUROPEAN INVESTMENT BANK;3570145.86;3;0.29
2026;42776586352;DV MARKUŠEVEC;3438760.19;68;0.28
2026;03864029789;DV ZAPRUĐE;3432693.12;76;0.28
2026;38262788673;GIP PIONIR D.O.O.;3424129.27;7;0.27
2026;13433301401;DV BUKOVAC;3410471.51;61;0.27
2026;13530191392;TEH - GRADNJA D.O.O.;3376421.49;15;0.27
2026;81468897500;DV TRAVNO;3352162.50;84;0.27
2026;09462989768;DV ŠPANSKO;3340782.88;76;0.27
sve;85584865987;ZAGREBAČKI HOLDING D.O.O.;587413515.72;20795;12.44
sve;82031999604;ZAGREBAČKI ELEKTRIČNI TRAMVAJ DOO;580051465.38;1793;12.29
sve;GDPR;Fizičke osobe (anonimizirano);309253676.07;31723;6.55
sve;18683136487;MINISTARSTVO FINANCIJA;220389649.58;2408;4.67
sve;59365213244;UPRAVLJANJE SPORTSKIM OBJEKTIMA;86637768.67;132;1.84
sve;00000000010;POVREMENA NESAMOSTALNA I SAMOSTALNA DJELATNOST;78346169.02;2256;1.66
sve;23057039320;ERSTE STEIERMARKISCHE BANK;74049988.57;276;1.57
sve;92963223473;ZAGREBAČKA BANKA  D.D. ZAGREB;73992549.94;681;1.57
sve;73807462275;SPORTSKI SAVEZ GRADA ZAGREBA;73666666.69;31;1.56
sve;83416546499;VODOOPSKRBA I ODVODNJA D.O.O.;61652909.40;22591;1.31
sve;92366589656;JAVNA VATROGASNA POSTROJBA GRADA ZAGREBA;55389982.91;167;1.17
sve;93571946376;KNJIŽNICE GRADA ZAGREBA;50936403.41;239;1.08
sve;74971361430;STRABAG DOO;49556689.21;57;1.05
sve;03744272526;GRADSKO STAMBENO KOMUNALNO GOSPODARSTVO D.O.O.;45907039.32;1512;0.97
sve;89931241548;KAMGRAD D.O.O.;45102806.47;30;0.96
sve;22987484862;ZAGREBAČKE OTPADNE VODE D.O.O.;38257081.94;16;0.81
sve;02535697732;PRIVREDNA BANKA ZAGREB DD;32309171.20;207;0.68
sve;10852199405;HRVATSKO NARODNO KAZALIŠTE;31863171.08;147;0.67
sve;77931216562;URIHO USTANOVA ZA PROF.REHABILITACIJU I ZAP.OSOBA S INVAL.;30185779.19;305;0.64
sve;14482540987;IZGRADNJA FUTURA D.O.O.;25834439.61;87;0.55
sve;63073332379;HEP OPSKRBA D.O.O.;24809836.54;978;0.53
sve;40838744815;BBR ADRIA D.O.O.;24481132.33;32;0.52
sve;76370234816;ELICOM D.O.O.;24218589.69;112;0.51
sve;59569102212;ZAGREBAČKO GRADSKO KAZALIŠTE KOMEDIJA;21246186.39;297;0.45
sve;38657725741;ZAGREBAČKA FILHARMONIJA;18857404.67;238;0.40
sve;89436606278;MEKATRONIK URETIM TEKNOLOJI MUHENDISLIK ANONIM SIRKETI;18162150.25;19;0.38
sve;70362197460;USTANOVA DOBRI DOM GRADA ZAGREBA;17745324.97;74;0.38
sve;23023589098;MODULOR CONSTRUCTIONS DOO;17600965.18;28;0.37
sve;69262261098;USTANOVA ZOOLOŠKI VRT GRADA ZAGREBA;16617456.31;33;0.35
sve;81106567513;DV VRAPČE;16510920.55;287;0.35
sve;91678676896;COMBIS D.O.O.;16433398.01;166;0.35
sve;95660678441;ZAGREBAČKI VELESAJAM DOO;16422961.58;1058;0.35
sve;62485998118;HEDOM  D.O.O.;16115792.47;101;0.34
sve;97345554668;DV BAJKA;15581114.93;255;0.33
sve;07410147801;NILUFER YONETIM DANISMANLIGI INSAAT SANAYI TICARET ANONIM SI;14959944.70;27;0.32
sve;99639891810;PROJEKTGRADNJA PLUS D.O.O;14592654.76;21;0.31
sve;31015599358;DV ŠEGRT HLAPIĆ;14554575.84;312;0.31
sve;13254939546;ZAGREBAČKO KAZALIŠTE MLADIH;14345050.95;344;0.30
sve;69476494959;DV GAJNICE;13909958.65;317;0.29
sve;13530191392;TEH - GRADNJA D.O.O.;13783923.40;50;0.29
sve;88388890400;DV JARUN;13780234.31;253;0.29
sve;66494507454;DV SUNČANA;13681464.27;281;0.29
sve;31422239000;DV SESVETE;13560836.23;328;0.29
sve;78167252842;DV GRIGOR VITEZ;13061171.68;258;0.28
sve;23901219315;GRADSKO DRAMSKO KAZALIŠTE GAVELLA;12919798.05;235;0.27
sve;49823978318;DV TRNSKO;12512847.79;314;0.27
sve;42776586352;DV MARKUŠEVEC;12242388.91;298;0.26
sve;03864029789;DV ZAPRUĐE;12167775.06;328;0.26
sve;13433301401;DV BUKOVAC;11997051.09;269;0.25
sve;20169135633;DV TRATINČICA;11909466.56;314;0.25
