godina;oib;naziv;iznos_eur;broj_isplata;udio_posto
2024;63303576952;DV DUGA;3328818.05;121;0.20
2024;03901084957;DV LEPTIR;3230316.13;123;0.20
2024;58673709931;DV ŠUMSKA JAGODA;3224855.30;114;0.20
2024;62112881951;DV REMETINEC;3215734.22;118;0.20
2024;08407195933;DV KUSTOŠIJA;3213677.53;103;0.20
2024;09462989768;DV ŠPANSKO;3166361.88;114;0.19
2024;54493774760;KONCERTNA DVORANA VATROSLAVA LISINSKOG;3139389.80;64;0.19
2024;78118217052;DV JABUKA;3136132.50;111;0.19
2024;40838744815;BBR ADRIA D.O.O.;3111048.82;5;0.19
2024;87101832767;DV KOLIBRI;3091015.01;98;0.19
2024;45434922757;DV BOTINEC;3068823.08;119;0.19
2024;03547184733;DJEČJA BOLNICA SREBRNJAK;3048712.98;20;0.19
2024;40201821835;DV VEDRI DANI;3046994.02;126;0.19
2024;69945190946;DV SAVICA;3045265.14;100;0.19
2024;94870424008;DV VJEVERICA;3041233.96;103;0.19
2024;99506331443;DV TREŠNJEVKA;3034122.79;106;0.19
2024;41077368443;DV RAZLIČAK;3023206.69;93;0.18
2024;56654700279;DV SIGET;3004849.18;99;0.18
2024;07292798848;HRVATSKI CRVENI KRIŽ GRADSKO DRUŠTVO CRVENOG KRIŽA ZAGREB;2999828.24;157;0.18
2024;76109957666;DV UTRINA;2984597.50;110;0.18
2024;10295750223;DV SUNCE;2962757.89;102;0.18
2024;34319349088;DOM ZA STARIJE OSOBE SVETA ANA ZAGREB;2907229.25;94;0.18
2024;23414282056;STROJARSKA TEHNIČKA ŠKOLA FAUSTA VRANČIĆA;2902873.25;121;0.18
2024;41026360834;DV SOPOT;2901238.18;95;0.18
2024;46986958358;DV VLADIMIR NAZOR;2901076.82;95;0.18
2024;62485998118;HEDOM  D.O.O.;2883531.92;43;0.18
2024;71812732448;CENTAR ZA PRUŽANJE USLUGA U ZAJEDNICI MALI DOM;2841811.58;29;0.17
2024;79532938998;DV IVANA BRLIĆ MAŽURANIĆ;2824290.58;100;0.17
2024;81370721673;MONTAŽNE TRIBINE D.O.O. ZA PROIZVODNJU, GRAĐENJE I USLUGE;2736586.09;5;0.17
2024;85671777188;DOM ZA STARIJE OSOBE CENTAR;2707707.32;102;0.17
2024;26804323093;GRADSKO KAZALIŠTE KEREMPUH;2687578.82;60;0.16
2024;43821234370;DV MAKSIMIR;2647952.79;94;0.16
2024;92781436923;DV POLETARAC;2631618.59;111;0.16
2024;37849898335;MAR DOO ZA GRADITLJSTVO I RADOVE U ENERGETICI;2625063.97;26;0.16
2024;63702214100;ŠKOLA ZA MEDICINSKE SESTRE MLINARSKA ZAGREB;2617843.02;164;0.16
2024;46201053599;DV MALI PRINC;2615752.84;102;0.16
2024;99544354954;ETNOGRAFSKI MUZEJ;2585162.37;82;0.16
2024;91030829427;DV MILAN SACHS;2581416.51;111;0.16
2024;07777553720;ELEKTROKOVINA LIGHTING DOO;2568332.54;84;0.16
2024;56787155320;DOM ZA STARIJE OSOBE TRNJE;2551478.99;98;0.16
2024;59596000383;DV MEDO BRUNDO;2530117.08;90;0.15
2024;22702558967;DV BUDUĆNOST;2495412.36;98;0.15
2024;40102169932;OMEGA SOFTWARE D.O.O.;2486348.52;117;0.15
2024;19262409274;DV POTOČNICA;2478173.08;103;0.15
2024;53838475417;ZAGREBAČKO KAZALIŠTE LUTAKA;2471362.95;59;0.15
2024;78356795960;JAVNA USTANOVA ZA UPRA PRIRODNIM VRIJEDNOSTIMA GRADA ZAGREBA;2467455.25;17;0.15
2024;49466263965;DV IZVOR;2456466.19;114;0.15
2024;88026390655;DOM ZA STARIJE OSOBE MEDVEŠČAK ZAGREB;2452558.53;65;0.15
2024;25683592460;DV TATJANA MARINIĆ;2440803.35;99;0.15
2024;86792006248;DOM ZA STARIJE OSOBE DUBRAVA - ZAGREB;2440063.81;88;0.15
2024;52822555432;DV ZVONČIĆ;2430554.41;93;0.15
2024;30881792156;DV MEDVEŠČAK;2427895.48;106;0.15
2024;46830600751;HEP - OPERATOR DISTRIBUCIJSKOG SUSTAVA D.O.O.;2388623.56;977;0.15
2024;64112328386;DV SREDNJACI;2381539.68;96;0.15
2024;02994650199;APIS IT D.O.O.;2367246.98;294;0.14
2024;90093318654;DOM ZA STARIJE OSOBE MAKSIMIR;2361939.67;76;0.14
2024;24590198805;ZAGORJE GRADNJA D.O.O.;2357423.26;7;0.14
2024;02728849314;MUZEJ ZA UMJETNOST I OBRT;2341560.30;94;0.14
2024;16890821011;DOM ZA STARIJE OSOBE SVETI JOSIP ZAGREB;2334069.38;124;0.14
2024;48737778965;TERMORAD DOO;2328858.34;74;0.14
2024;36861051455;DV TRNORUŽICA;2304650.99;109;0.14
2024;91692114950;GKT GRADIN DOO ZA GRADITELJSTVO I TRGOVINU;2296410.01;15;0.14
2024;21384342053;DV MATIJA GUBEC;2255081.63;115;0.14
2024;43965974818;HEP ELEKTRA DOO;2254784.52;5811;0.14
2024;17353680710;DV PETAR PAN;2232289.02;111;0.14
2024;36358816855;DV ZRNO;2217693.31;105;0.14
2024;00053084642;DOM ZDRAVLJA ZAGREB CENTAR;2216888.91;331;0.14
2024;68441960124;CENT ZA PRUŽ USL U ZAJ ZAGREBAČKI CENT ZA NEOVISNO ŽIVLJENJE;2213972.44;22;0.14
2024;46432791617;DOM ZA STARIJE OSOBE PEŠČENICA, ZAGREB;2115396.56;63;0.13
2024;42602329951;DOM ZA STARIJE OSOBE KSAVER;2079911.49;75;0.13
2024;30468132163;DOM ZA STARIJE I NEMOĆNE OSOBE PARK;2074580.50;16;0.13
2024;10970597007;DV KRIJESNICE;2050327.68;105;0.13
2024;56980862387;DV ISKRICA;2047791.30;102;0.13
2024;28265486672;GRADSKO KAZALIŠTE TREŠNJA;2022304.33;61;0.12
2024;43566372258;GRADITELJSTVO I TRGOVINA PERIĆ D.O.O.;1996094.88;14;0.12
2024;44838895379;KAPITEL D.O.O.;1963643.86;9;0.12
2024;70200207247;ZAVOD ZA PROSTORNO UREĐENJE GRADA ZAGREBA;1920100.00;24;0.12
2024;11909496026;VATROGASNA ZAJEDNICA GRADA ZAGREBA;1870200.00;12;0.11
2024;68127446342;MUZEJ GRADA ZAGREBA;1837994.50;78;0.11
2024;51196068839;PSIHIJATRIJSKA BOLNICA ZA DJECU I MLADEŽ;1834582.75;45;0.11
2024;24526594626;TERRA TRADE DOO;1782607.06;2;0.11
2024;79157146686;ARHEOLOŠKI MUZEJ U ZAGREBU;1763377.56;95;0.11
2024;67001695549;KING ICT D.O.O.;1746511.56;30;0.11
2024;34214604603;OLM INFRA JDOO;1735148.72;30;0.11
2024;12988772690;P.G.P. D.O.O.;1685632.27;14;0.10
2024;00432869176;HRVATSKA OSIGURAVAJUĆA KUĆA D.D.;1676826.93;43;0.10
2024;53921712112;ZAGREBAČKI INOVACIJSKI CENTAR D.O.O.;1675384.00;8;0.10
2024;52480497296;ŠUŠKOVIĆ GRAĐENJE D.O.O.;1649598.10;28;0.10
2024;49811265576;TEHNIČKA ŠKOLA RUĐER BOŠKOVIĆ;1642626.09;105;0.10
2024;75982310877;SPECIJALNA BOLNICA ZA PLUĆNE BOLESTI;1630229.10;17;0.10
2024;10077695689;OGANJ D.O.O.;1626944.60;21;0.10
2024;38176145202;MAGNUM SUPRA DOO;1580830.37;12;0.10
2024;69693144506;HRVATSKE ŠUME D.O.O.;1496093.65;45;0.09
2024;51439010603;CENTAR ZA REHABILITACIJU SILVER;1460903.23;31;0.09
2024;33392005961;NASTAVNI ZAVOD ZA JAVNO ZDRAVSTVO DR. ANDRIJA ŠTAMPAR;1457024.57;310;0.09
2024;87939104217;HRVATSKA POŠTANSKA BANKA D.D.;1445638.96;102;0.09
2024;88696689887;SUVAG POLIKLINIKA ZA REHABILITACIJU SLUŠANJA I GOVORA;1429614.16;153;0.09
2024;79960056463;AGRAD PROJEKT DOO;1426900.32;9;0.09
2024;09539646589;KAPETANOVIĆ SISTEMI AUDIO I VIDEO OPREMA DOO;1426392.64;35;0.09
2024;15589224990;KULTURNI CENTAR TRAVNO;1400916.51;66;0.09
2024;85828625994;FOND ZA ZAŠTITU OKOLIŠA I ENERGETSKU UČINKOVITOST;1375335.71;1;0.08
2024;37198918530;"TEHNIČKI MUZEJ ""NIKOLA TESLA""";1351444.40;53;0.08
2024;04492664153;MEDICAL INTERTRADE D.O.O.;1334605.45;1;0.08
2024;87311810356;HRVATSKA POŠTA D.D.;1283357.04;119;0.08
2024;27759560625;INA INDUSTRIJA NAFTE D.D.;1276967.03;62;0.08
2024;33971755655;VESELČIĆ DOO;1253405.73;19;0.08
2024;09253797076;AKD - ZAŠTITA D.O.O. ZA ZAŠTITU OSOBA I IMOVINE;1252876.71;169;0.08
2024;48299645518;KODEKS GRADITELJSTVO DOO;1238244.59;32;0.08
2024;20874782919;IS GRIJANJE D.O.O.;1226147.23;18;0.07
2024;47521323377;NARODNO SVEUČILIŠTE DUBRAVA;1151472.90;100;0.07
2024;33995559159;OŠ SAVSKI GAJ;1122800.25;139;0.07
2024;95032181708;GDI DOO;1122538.02;34;0.07
2024;98039404134;OKI  MONT D.O.O.;1099285.38;50;0.07
2024;47377939383;OŠ AUGUSTA ŠENOE;1088773.42;142;0.07
2024;57970950313;VODOLIM DOO;1087596.72;5;0.07
2024;84526969754;EUROADRIA D.O.O.;1079849.26;37;0.07
2024;53056966535;RAIFFEISENBANK AUSTRIA DD;1077307.20;61;0.07
2024;27854662356;OŠ JELKOVEC;1042150.64;97;0.06
2024;84398178962;GRADSKO KAZALIŠTE ŽAR PTICA;1033295.12;57;0.06
2024;76253821370;HIDROSTRES D.O.O.;1029737.71;17;0.06
2024;07628779327;OŠ TITUŠA BREZOVAČKOG;1027476.74;112;0.06
2024;62432304595;KULTURNO INFORMATIVNI CENTAR;1021439.13;84;0.06
2024;44900859510;OŠ KRALJA TOMISLAVA;1016894.74;117;0.06
2024;90357089001;OŠ LUKA;1011472.54;142;0.06
2024;77993479518;ISTRIA ROYAL VILLAS RESORT DOO;1005363.81;1;0.06
2024;09149352137;OŠ DRAGUTINA DOMJANIĆA;999417.27;142;0.06
2024;50582521257;OŠ MALEŠNICA;996381.11;133;0.06
2024;73051728774;OŠ DRAGUTINA TADIJANOVIĆA;993616.49;120;0.06
2024;99118997944;OŠ KAJZERICA;973174.07;123;0.06
2024;93157965255;FORMA DOO;972408.97;5;0.06
2024;04318334164;OŠ ANTE KOVAČIĆA;959958.93;123;0.06
2024;38198952349;DOM ZA DJECU I ODRASLE-ŽRTVE OBITELJSKOG NASILJA DUGA-ZAGREB;951526.20;27;0.06
2024;36955576207;OŠ ŽUTI BRIJEG;944993.62;114;0.06
2024;64645054565;PRIMAT LOGISTIKA DOO;921499.60;19;0.06
2024;40723003638;OŠ ALOJZIJA STEPINCA;903964.07;165;0.06
2024;92559974262;SPEC. BOLNICA ZA ZAŠTITU DJECE S NEURORAZV. I MOT. SMETNJAMA;881358.82;143;0.05
2024;66184539220;OŠ BARTOLA KAŠIĆA;866886.55;116;0.05
2024;93298204867;REGIONALNA ENERGETSKO KLIMATSKA AGENCIJA SZ HRVATSKE;861300.00;16;0.05
2024;82390971460;USTANOVA ZAGREB FILM;861032.96;66;0.05
2024;79421023865;SWARCO CROATIA DOO;853521.91;19;0.05
2024;62850482681;TEMPORIUM GRADNJA DOO;853363.53;13;0.05
2024;48896313673;BRIMUS D.O.O.;839554.93;25;0.05
2024;85286272245;OŠ PAVLEKA MIŠKINE;836856.06;116;0.05
2024;52960882634;OŠ MATE LOVRAKA;832627.33;112;0.05
2024;27893203755;OŠ JURE KAŠTELANA;823520.17;105;0.05
2024;48787627264;OŠ ŠPANSKO ORANICE;821814.67;95;0.05
2024;08466144831;OŠ IVANA MEŠTROVIĆA;820213.29;146;0.05
2024;97705154133;OŠ BUKOVAC;809447.58;145;0.05
2024;39584056263;OŠ PETRA ZRINSKOG;802035.06;126;0.05
2024;32430086141;OŠ RETKOVEC;796989.27;138;0.05
2024;52098670500;BOLČEVIĆ GRADNJA D.O.O.;791713.73;8;0.05
2024;74149875115;ZAGREBAČKI CENTAR ZA GOSPODARENJE OTPADOM;790721.25;11;0.05
2024;64507525513;OŠ BREZOVICA;786704.36;128;0.05
2024;24802180410;OŠ SESVETSKI KRALJEVEC;783915.26;116;0.05
2024;47340618999;OŠ SESVETE;779370.22;128;0.05
2024;24061503881;OŠ IVE ANDRIĆA;774281.14;131;0.05
2024;29065880963;OŠ TRNSKO;773453.86;131;0.05
2024;60669015692;OŠ GUSTAVA KRKLECA;771085.06;136;0.05
2024;85965934616;NERING D.O.O.;757861.73;21;0.05
2024;68971787775;OŠ ANTUNA GUSTAVA MATOŠA;751633.50;101;0.05
2024;85778249664;OŠ SVETA KLARA;748095.16;122;0.05
2024;26702280390;HRVATSKA BANKA ZA OBNOVU I RAZVITAK;742500.58;264;0.05
2024;86895308451;OŠ BRESTJE;741932.79;128;0.05
2024;63467332374;CENTAR ZA AUTIZAM;735189.61;167;0.04
2024;19780265434;OŠ JOSIPA RAČIĆA;722688.67;108;0.04
2024;81002091960;OŠ IVANA CANKARA;722466.85;126;0.04
2024;29830060230;TIGRA ZA GRAĐEVINARSTVO I TRGOVINU D.O.O.;721887.71;8;0.04
2024;78390068967;DV DJEČJI KORACI;721541.99;23;0.04
2024;76147034208;OŠ ANTUNA MIHANOVIĆA;719884.17;117;0.04
2024;81088614312;OŠ VEĆESLAVA HOLJEVCA;719480.65;125;0.04
2024;02848440254;OŠ VOLTINO;709035.00;115;0.04
2024;55295688261;OŠ SESVETSKA SELA;708480.70;130;0.04
2024;47193049641;OŠ LUČKO;704515.21;123;0.04
2024;67787842481;OŠ SILVIJA STRAHIMIRA KRANJČEVIĆA;702942.73;125;0.04
2024;30730085385;OŠ DUGAVE I;699524.42;130;0.04
2024;37394657906;DV DJEČJA IGRA;698286.42;23;0.04
2024;65319410688;SAVA - SPORT D.O.O. ZA TRGOVINU I USLUGE;697995.60;24;0.04
2024;92120285716;OŠ MATIJE GUPCA;694337.12;95;0.04
2024;34020671941;OŠ VJENCESLAVA NOVAKA;692140.12;121;0.04
2024;60990397054;OŠ GRANEŠINA;691195.13;107;0.04
2024;03287241147;CENTAR KULTURE NA PEŠĆENICI;689146.44;72;0.04
2024;84283102588;OŠ IVANA GRANĐE;688660.49;142;0.04
2024;45058007791;CENTAR MLADIH RIBNJAK;687278.89;78;0.04
2024;78027759648;GALERIJA KLOVIĆEVI DVORI;685388.37;37;0.04
2024;44813808316;OŠ MEDVEDGRAD;672968.90;143;0.04
2024;16648329652;POLIKLINIKA ZA PREVENCIJU KARDIOVASKULARNIH BOLESTI I REHAB.;672888.31;69;0.04
2024;50159258035;RAZVOJNA AGENCIJA ZAGREB ZA KOORD  I POTICANJE REG RAZVOJA;670614.43;26;0.04
2024;31137271482;OŠ SREDIŠĆE;667442.52;107;0.04
2024;89692114282;OŠ MARIJE JURIĆ ZAGORKE;666974.29;150;0.04
2024;34291434133;OŠ OTOK;665991.58;98;0.04
2024;43748649227;OŠ VUGROVEC KAŠINA;655771.26;142;0.04
2024;17631431320;VODOTEHNIKA  D.D.;654936.56;25;0.04
2024;54702581236;OŠ REMETE;651694.50;100;0.04
2024;05668973495;OŠ JORDANOVAC;650798.14;105;0.04
2024;08579918418;OŠ GROFA JANKA DRAŠKOVIĆA;642082.19;110;0.04
2024;15907062900;HEP TOPLINARSTVO D.O.O;641951.41;3338;0.04
2024;93376857458;GRAĐANSKI NOGOMETNI KLUB DINAMO;641000.00;2;0.04
2024;69136218794;OŠ PREČKO;637395.77;133;0.04
2024;31407932125;CENTAR ZA KULTURU I INFORMACIJE MAKSIMIR;637123.65;72;0.04
2024;54303952361;OŠ GRIGORA VITEZA;636278.00;156;0.04
2024;38262788673;GIP PIONIR D.O.O.;636267.59;4;0.04
2024;78539372462;OŠ IVANA GORANA KOVAČIĆA;636059.69;109;0.04
2024;55883379580;OŠ RUDEŠ;634636.47;121;0.04
2024;32542348836;OŠ NIKOLE TESLE;631131.25;104;0.04
2024;92430141987;DV ČIGRA;623719.67;23;0.04
2024;05657566669;POLIKLINIKA ZAGREB;619951.00;13;0.04
2024;94402740800;RUKOMETNI KLUB ZAGREB;614000.00;2;0.04
2024;85867734506;OŠ GRAČANI;613541.72;117;0.04
2024;89479352022;CENTAR ZA KULTURU I FILM AUGUSTA CESARCA;612884.74;57;0.04
2024;37919840816;ŠKRINJICA D.O.O.;611571.62;6;0.04
2024;00167285641;I GIMNAZIJA;610237.91;107;0.04
2024;07508446885;OŠ MATKA LAGINJE;608554.97;119;0.04
2024;98427196102;OŠ VRBANI;608440.94;114;0.04
2024;03868412563;PRIMAT - RD D.O.O.;608382.50;1;0.04
2024;48482170643;OŠ STENJEVEC;605710.70;126;0.04
2024;68487984198;OŠ KUSTOŠIJA;605332.54;109;0.04
2024;39554538107;OŠ IZIDORA KRŠNJAVOGA;604887.13;106;0.04
2024;00659823560;DV KOCKICA;604174.73;23;0.04
2024;16687620362;TGT ADRIATIK DOO;603896.65;3;0.04
2024;61456000823;OŠ ZAPRUĐE;603407.26;102;0.04
2024;99825614646;FOTON PROMET D O O;597044.55;40;0.04
2024;13465678686;OŠ ODRA;594137.67;134;0.04
2024;79939132551;MODIFIKACIJA ING DOO;593726.39;5;0.04
2024;97699903366;OŠ FRANA GALOVIĆA;591370.03;104;0.04
2024;00733311237;OŠ ŽITNJAK;588572.09;143;0.04
2024;59975062998;OŠ KSAVERA ŠANDORA GJALSKOG;575739.40;127;0.04
2024;08844695446;OŠ IVANA MAŽURANIĆA;570529.29;130;0.03
2024;23485687544;HRVATSKI ŠKOLSKI MUZEJ;568089.02;79;0.03
2024;71087160585;OŠ VUKOMEREC;566647.90;105;0.03
2024;01292735134;OŠ DAVORINA TRSTENJAKA;566564.91;109;0.03
2024;87153754672;OŠ PANTOVČAK;561483.72;105;0.03
2024;01390776709;OŠ PETRA PRERADOVIĆA;556111.42;130;0.03
2024;35903326209;OŠ JULIJA KLOVIĆA;550813.20;101;0.03
2024;64192076379;USTANOVA ZA ZDRAVSTVENU NJEGU U KUĆI;550399.00;91;0.03
2024;19851267412;TAU CENTAR DOO;549244.46;2;0.03
2024;26713979601;OŠ MLADOST;547813.90;114;0.03
2024;09951635001;OŠ RAPSKA;546456.20;104;0.03
2024;28957082165;OŠ DR. ANTE STARČEVIĆA;545803.91;97;0.03
2024;82593285099;STOMATOLOŠKA POLIKLINIKA ZAGREB;544117.83;35;0.03
2024;87873316089;OŠ DR. IVAN MERZ;543834.33;135;0.03
2024;62873946841;OŠ MARKUŠEVEC;540035.46;113;0.03
2024;96262119913;AUTO BENUSSI DOO;539335.07;18;0.03
2024;54281445057;OŠ BANA JOSIPA JELAČIĆA;538159.92;137;0.03
2024;50789580026;OŠ IVANA GUNDULIĆA;537346.92;144;0.03
2024;98748037928;DV MALI ISTRAŽIVAČ;536217.83;23;0.03
2024;72166604204;PRIRODOSLOVNA ŠKOLA VLADIMIRA PRELOGA;533184.98;118;0.03
2024;51680110311;CENTAR ZA KULTURU TREŠNJEVKA;530214.01;66;0.03
2024;40477323596;CENTAR ZA KULTURNO DRUŠTVENI RAZVOJ NOVI PROSTORI KULTURE;529676.10;40;0.03
2024;83439900916;E. G. S. - ELEKTROGRADITELJSTVO D.O.O.;526395.65;22;0.03
2024;76234985768;OŠ OTONA IVEKOVIĆA;525545.16;123;0.03
2024;97103671104;DOM ZDRAVLJA ZAGREB ISTOK;525504.30;42;0.03
2024;86073451624;OŠ MARINA DRŽIĆA;520682.48;98;0.03
2024;67871736571;DV BLAŽENA HOZANA;518522.60;23;0.03
2024;76594422243;PALAM DOO;517845.56;10;0.03
2024;56710177871;HVAR D.O.O.;515809.43;3;0.03
2024;41317489366;HEP PLIN DOO;515665.00;825;0.03
2024;49480055222;ŽOLI SPORT DOO;508905.80;6;0.03
2024;03430970424;MONTERRA DOO;504875.78;6;0.03
2024;91895220644;OŠ JABUKOVAC - ZAGREB;503663.19;125;0.03
2024;77278617749;OŠ IVER;498228.80;135;0.03
2024;95267786050;OŠ CVJETNO NASELJE;496990.19;101;0.03
2024;80497496808;DV LETEĆI MEDVJEDIĆI;495830.95;23;0.03
2024;50296913346;USTANOVA ZA SVEOBUHV. SKRB O PR. 1. GARD. BR. TIGROVI I JED.;494526.34;22;0.03
2024;76712040113;OŠ LJUBLJANICA;492424.03;99;0.03
2024;70989676533;NEVING D.O.O.;489666.02;10;0.03
2024;95728434073;KOŠARKAŠKI KLUB CIBONA;487050.00;3;0.03
2024;39982939568;CESTODOM DOO;486817.50;117;0.03
2024;18493858124;HRVATSKI RUKOMENI SAVEZ;482700.00;3;0.03
2024;90515285700;OŠ BOROVJE;477836.13;114;0.03
2024;38449471041;I. TEHNIČKA ŠKOLA TESLA;477651.21;96;0.03
2024;11536369823;OŠ DR. VINKA ŽGANCA;476703.14;107;0.03
2024;42524586447;ODVJETNIČKO DRUŠTVO ŽUPIĆ & PARTNERI D.O.O.;474911.55;370;0.03
2024;79826172348;DV PINGVIN;474386.96;23;0.03
2024;47019050170;CENTAR ZA PRUŽANJE USL. U ZAJEDNICI SAVJETOVALIŠTE LUKA RITZ;473112.00;13;0.03
2024;12387694545;HRVATSKI AKADEMSKI ODBOJAŠKI KLUB MLADOST;471000.00;2;0.03
2024;62226620908;KONZUM PLUS DOO;468066.31;263;0.03
2024;28307286006;OŠ IVANJA REKA;467366.79;115;0.03
2024;06637660960;ADRIA GRUPA D.O.O.;466957.12;79;0.03
2024;59767287298;OŠ DOBRIŠE CESARIĆA;466439.14;107;0.03
2024;44408806616;VIBRO LIMES D.O.O.;466295.43;3;0.03
2024;45001686598;SVEUČILIŠTE U ZAGREBU MEDICINSKI FAKULTET;465874.29;29;0.03
2024;38401467477;MUZEJ PRIGORJA;464734.76;65;0.03
2024;06555189043;DV PANDA;463268.01;23;0.03
2024;97039950668;OŠ ŠESTINE;462540.93;100;0.03
2024;89462181048;EXPORTDRVO D.D.;458997.83;48;0.03
2024;81725888904;POLIKLINIKA ZA ZAŠTITU DJECE GRADA ZAGREBA;456469.50;32;0.03
2024;59587665075;DV LEPTIRIĆ LU;450261.47;23;0.03
2024;75232125990;DV JORDANOVAC;446867.53;23;0.03
2024;04467652234;OŠ ANTUNA BRANKA ŠIMIĆA;446542.00;106;0.03
2024;46501469845;OŠ VLADIMIRA NAZORA;441517.85;111;0.03
