naziv;vrsta;adresa;gradska_cetvrt;lat;lon;oib;iznos_eur;broj_isplata
OSNOVNA ŠKOLA IVANA MEŠTROVIĆA;Osnovna škola;Ulica Martina Pušteka 1;TREŠNJEVKA - JUG;45.788122;15.932966;08466144831;2666249.63;379
OSNOVNA ŠKOLA MATE LOVRAKA;Osnovna škola;Aleja Blaža Jurišića 13;GORNJA DUBRAVA;45.834894;16.052908;52960882634;2591754.26;300
OSNOVNA ŠKOLA BARTOLA KAŠIĆA;Osnovna škola;Vrisnička ulica 4;TREŠNJEVKA - JUG;45.786917;15.923937;66184539220;2589250.80;302
OSNOVNA ŠKOLA ANTUNA MIHANOVIĆA;Osnovna škola;Dubečka ulica 5;GORNJA DUBRAVA;45.829822;16.077915;76147034208;2588072.58;334
CENTAR ZA AUTIZAM;Osnovna škola;Ulica Baltazara Dvorničića 6;GORNJI GRAD - MEDVEŠČAK;45.81954;15.980914;63467332374;2562438.02;410
OSNOVNA ŠKOLA ALOJZIJA STEPINCA;Osnovna škola;Palinovečka ulica 42;TREŠNJEVKA - JUG;45.789123;15.913966;40723003638;2561022.89;403
OSNOVNA ŠKOLA JURE KAŠTELANA;Osnovna škola;Ulica Vladimira Ruždjaka 2A;TRNJE;45.793745;15.99368;27893203755;2458216.62;296
OSNOVNA ŠKOLA PAVLEKA MIŠKINE;Osnovna škola;Sveti Duh 24;ČRNOMEREC;45.815161;15.942424;85286272245;2370790.89;297
OSNOVNA ŠKOLA SVETA KLARA;Osnovna škola;Mrkšina ulica 42;NOVI ZAGREB - ZAPAD;45.755383;15.96932;85778249664;2366775.23;319
OSNOVNA ŠKOLA ŠPANSKO ORANICE;Osnovna škola;Dječji trg 1;STENJEVEC;45.799392;15.904559;48787627264;2350115.50;273
Centar mladih Ribnjak;Kulturna ustanova;Park Ribnjak 1;;45.81593;15.980052;45058007791;2269533.69;190
OSNOVNA ŠKOLA JOSIPA RAČIĆA;Osnovna škola;Srednjaci 30;TREŠNJEVKA - JUG;45.789192;15.940879;19780265434;2221480.39;276
OSNOVNA ŠKOLA IVANA CANKARA;Osnovna škola;Ulica Ivana Canka 10;ČRNOMEREC;45.813282;15.938096;81002091960;2191305.95;332
OSNOVNA ŠKOLA IVANA GRANĐE;Osnovna škola;Soblinečka ulica 68, Soblinec;SESVETE;45.864578;16.155295;84283102588;2140293.75;385
Centar za kulturu i film Augusta Cesarca;Kulturna ustanova;Ilica 227;;45.814513;15.936961;89479352022;2136539.55;154
OSNOVNA ŠKOLA GRIGORA VITEZA;Osnovna škola;Kruge 46;TRNJE;45.79807;15.98721;54303952361;2114453.74;399
OSNOVNA ŠKOLA VUGROVEC - KAŠINA;Osnovna škola;Cesta Ivana Mažuranića 43, Kašina;SESVETE;45.906378;16.124837;43748649227;2112796.79;372
OSNOVNA ŠKOLA GROFA JANKA DRAŠKOVIĆA;Osnovna škola;Vrapčanska ulica 7;PODSUSED - VRAPČE;45.814201;15.905482;08579918418;2108847.46;322
OSNOVNA ŠKOLA SILVIJA STRAHIMIRA KRANJČEVIĆA;Osnovna škola;Ulica Baltazara Bogišića 13;DONJI GRAD;45.809465;15.997395;67787842481;2106275.62;342
OSNOVNA ŠKOLA NIKOLE TESLE;Osnovna škola;Ulica Ivana Matetića Ronjgova 67;TREŠNJEVKA - JUG;45.794001;15.897966;32542348836;2101283.29;305
OSNOVNA ŠKOLA ANTUNA GUSTAVA MATOŠA;Osnovna škola;Aleja Antuna Augustinčića 12;MAKSIMIR;45.818598;16.026098;68971787775;2049802.60;272
OSNOVNA ŠKOLA VEĆESLAVA HOLJEVCA;Osnovna škola;Siget 23;NOVI ZAGREB - ZAPAD;45.772627;15.971065;81088614312;2017161.10;353
OSNOVNA ŠKOLA MATIJE GUPCA;Osnovna škola;Ulica Davorina Bazjanca 2;TREŠNJEVKA - JUG;45.793327;15.950111;92120285716;2015834.72;265
OSNOVNA ŠKOLA SESVETSKA SELA;Osnovna škola;Letnička ulica 5, Sesvete;SESVETE;45.832242;16.135654;55295688261;2012691.05;344
OSNOVNA ŠKOLA MARIJE JURIĆ ZAGORKE;Osnovna škola;Štefanovečka cesta 67;DONJA DUBRAVA;45.821679;16.046031;89692114282;2010476.02;412
Galerija Klovićevi dvori;Kulturna ustanova;Jezuitski trg 4;;45.815102;15.974616;78027759648;1965601.41;93
Hrvatski školski muzej;Kulturna ustanova;Trg Republike Hrvatske 4;;45.809208;15.971007;23485687544;1963201.37;191
OSNOVNA ŠKOLA VJENCESLAVA NOVAKA;Osnovna škola;Ulica Vile Velebita 15A;GORNJA DUBRAVA;45.838623;16.05966;34020671941;1961227.67;324
OSNOVNA ŠKOLA FRANA GALOVIĆA;Osnovna škola;Školski prilaz 7;NOVI ZAGREB - ISTOK;45.764198;15.995709;97699903366;1927386.68;315
Centar za kulturu i informacije Maksimir;Kulturna ustanova;Ulica Lavoslava Švarca 18;;45.818704;16.004704;31407932125;1920307.42;186
Centar za kulturu Trešnjevka;Kulturna ustanova;Park stara Trešnjevka 1;;45.797944;15.949914;51680110311;1871710.30;149
OSNOVNA ŠKOLA IVANA MAŽURANIĆA;Osnovna škola;Javorinska ulica 5;DONJA DUBRAVA;45.825645;16.050218;08844695446;1793039.66;321
OSNOVNA ŠKOLA CVJETNO NASELJE;Osnovna škola;Cvjetna cesta 17;TRNJE;45.791283;15.963341;95267786050;1788222.94;285
OSNOVNA ŠKOLA DR. ANTE STARČEVIĆA;Osnovna škola;Ulica sv. Leopolda Mandića 55;GORNJA DUBRAVA;45.831374;16.044005;28957082165;1740321.46;256
OSNOVNA ŠKOLA DR. IVAN MERZ;Osnovna škola;Ulica Račkoga 4;DONJI GRAD;45.811291;15.984312;87873316089;1707116.13;380
OSNOVNA ŠKOLA IZIDORA KRŠNJAVOGA;Osnovna škola;Ulica Isidora Kršnjavoga 2;DONJI GRAD;45.807654;15.966636;39554538107;1701323.49;282
Muzej Prigorja;Kulturna ustanova;Trg Dragutina Domjanića 5;;45.8268;16.110321;38401467477;1689840.91;171
OSNOVNA ŠKOLA MATKA LAGINJE;Osnovna škola;Ulica Matka Laginje 13;DONJI GRAD;45.813;15.992809;07508446885;1684189.69;320
Stomatološka poliklinika Zagreb;Zdravstvena ustanova;Ulica Ivana Perkovca 3;;45.807682;15.968606;82593285099;1680954.67;105
OSNOVNA ŠKOLA JULIJA KLOVIĆA;Osnovna škola;Nova cesta 133;TREŠNJEVKA - SJEVER;45.796987;15.956087;35903326209;1669903.64;253
OSNOVNA ŠKOLA BANA JOSIPA JELAČIĆA;Osnovna škola;Podgradski odvojak 1;PODSUSED - VRAPČE;45.81752;15.834436;54281445057;1661042.19;364
OSNOVNA ŠKOLA IVANA GUNDULIĆA;Osnovna škola;Gundulićeva ulica 23A;DONJI GRAD;45.809941;15.972905;50789580026;1646968.37;380
OSNOVNA ŠKOLA PETRA PRERADOVIĆA;Osnovna škola;Zapoljska ulica 32;PEŠČENICA - ŽITNJAK;45.807536;16.023475;01390776709;1638044.41;337
OSNOVNA ŠKOLA IVANA GORANA KOVAČIĆA;Osnovna škola;Ulica Matija Mesića 35;GORNJI GRAD - MEDVEŠČAK;45.823274;15.984533;78539372462;1635116.75;245
OSNOVNA ŠKOLA OTONA IVEKOVIĆA;Osnovna škola;Ulica Stjepka Pasanca 3;STENJEVEC;45.809846;15.922646;76234985768;1570365.20;333
Ustanova za zdravstvenu njegu u kući;Zdravstvena ustanova;Preradovićeva ulica 17/1;;45.810094;15.974777;64192076379;1504967.03;233
OSNOVNA ŠKOLA NAD LIPOM;Osnovna škola;Nad Lipom 13/1;ČRNOMEREC;45.813289;15.95025;02082287342;1475930.84;336
OSNOVNA ŠKOLA MARINA DRŽIĆA;Osnovna škola;Nalješkovićeva ulica 4;TRNJE;45.797309;15.993559;86073451624;1449057.37;261
Narodno sveučilište Sesvete;Kulturna ustanova;Trg Dragutina Domjanića 6;;45.826826;16.109746;02907920674;1439261.24;178
OSNOVNA ŠKOLA DAVORINA TRSTENJAKA;Osnovna škola;Krčka ulica 3;TRNJE;45.797992;15.973529;01292735134;1437047.96;270
OSNOVNA ŠKOLA DR. VINKA ŽGANCA;Osnovna škola;Ulica Nede Krmpotić 7;PEŠČENICA - ŽITNJAK;45.79373;16.050383;11536369823;1415165.15;280
OSNOVNA ŠKOLA DOBRIŠE CESARIĆA;Osnovna škola;Ulica Ksavera Šandora GJalskog 29;PEŠČENICA - ŽITNJAK;45.811433;16.024844;59767287298;1395361.18;281
OSNOVNA ŠKOLA ANTUNA BRANKA ŠIMIĆA;Osnovna škola;Krotovica 15;GORNJA DUBRAVA;45.833009;16.069581;04467652234;1377321.43;291
Centar za kulturu Novi Zagreb;Kulturna ustanova;Trg Narodne zaštite 2;;45.767843;15.947501;74794965060;1347993.37;163
Umjetnički paviljon;Kulturna ustanova;Trg kralja Tomislava 22;;45.807183;15.978613;24843164721;1312539.12;133
OSNOVNA ŠKOLA TINA UJEVIĆA;Osnovna škola;Koturaška cesta 75;TRNJE;45.802177;15.964774;28877650160;1305598.68;297
OSNOVNA ŠKOLA IVANJA REKA;Osnovna škola;Ivanjorečka cesta 1B;PEŠČENICA - ŽITNJAK;45.796242;16.118702;28307286006;1300314.43;307
OSNOVNA ŠKOLA AUGUSTA CESARCA;Osnovna škola;Ferenščica II 9A;PEŠČENICA - ŽITNJAK;45.801758;16.023779;44858403060;1272747.07;325
Poliklinika Zagreb;Zdravstvena ustanova;Argentinska ulica 2;;45.814544;15.876126;05657566669;1265936.62;25
OSNOVNA ŠKOLA SESVETSKA SOPNICA;Osnovna škola;Sopnička ulica 69;SESVETE;45.821344;16.091717;98407642834;1263630.34;335
OSNOVNA ŠKOLA BRAĆE RADIĆ;Osnovna škola;Ulica Šenoine Branke 22;NOVI ZAGREB - ZAPAD;45.754981;15.934673;67024074106;1262314.20;314
OSNOVNA ŠKOLA AUGUSTA HARAMBAŠIĆA;Osnovna škola;Ulica Augusta Harambašića 18;MAKSIMIR;45.815955;16.007593;61842387905;1222781.49;318
OSNOVNA ŠKOLA VLADIMIRA NAZORA;Osnovna škola;Jordanovac 23;MAKSIMIR;45.819692;16.006132;46501469845;1212164.14;268
OSNOVNA ŠKOLA DRAGUTINA KUŠLANA;Osnovna škola;Ulica Dragojla Kušlana 52;PEŠČENICA - ŽITNJAK;45.812342;16.00763;11943741285;1201284.72;284
OSNOVNA ŠKOLA MIROSLAVA KRLEŽE;Osnovna škola;Kaptol 16;GORNJI GRAD - MEDVEŠČAK;45.818508;15.97767;23046541950;1200400.74;342
Centar za kulturu i obrazovanje Susedgrad;Kulturna ustanova;Argentinska ulica 5;;45.815268;15.875774;29788970628;1133913.59;184
Centar za likovni odgoj Grada Zagreba;Kulturna ustanova;Rokov perivoj 4;;45.81518;15.967395;52427516025;1102534.17;159
OSNOVNA ŠKOLA JOSIPA JURJA STROSSMAYERA;Osnovna škola;Varšavska ulica 18;DONJI GRAD;45.811884;15.970637;06530150163;1094776.61;264
GLAZBENA ŠKOLA VATROSLAVA LISINSKOG;Osnovna škola;Gundulićeva ulica 4;DONJI GRAD;45.812616;15.971912;79669409638;913065.77;196
OSNOVNA ŠKOLA GORNJE VRAPČE;Osnovna škola;Vrapčanska ulica 188;PODSUSED - VRAPČE;45.832661;15.904168;29048076579;888281.87;334
"Klinika za psihijatriju ""Vrapče""";Zdravstvena ustanova;Bolnička cesta 32;;45.815842;15.897322;86937855002;867621.36;42
OSNOVNA ŠKOLA STJEPANA BENCEKOVIĆA;Osnovna škola;Horvaćanski trg 1,Horvati;BREZOVICA;45.713184;15.817488;36275587141;683070.59;295
GLAZBENA ŠKOLA PAVLA MARKOVCA;Osnovna škola;Trg žrtava fašizma 9;DONJI GRAD;45.809564;15.98827;23948173055;612778.21;199
GLAZBENO UČILIŠTE ELLY BAŠIĆ;Osnovna škola;Mlinarska cesta 25;GORNJI GRAD - MEDVEŠČAK;45.825505;15.977006;20392031242;514700.65;176
Centar za kulturu Histrionski dom;Kulturna ustanova;Ilica 90;;45.812489;15.964332;97256733714;479197.68;46
PRVA KATOLIČKA OSNOVNA ŠKOLA U GRADU ZAGREBU;Osnovna škola;Ivanićgradska ulica 41A;PEŠČENICA - ŽITNJAK;45.808221;16.01779;05994801707;461529.11;111
GLAZBENA ŠKOLA BLAGOJA BERSE;Osnovna škola;Britanski trg 5;GORNJI GRAD - MEDVEŠČAK;45.813346;15.964257;01500403553;427868.14;167
ŠKOLA ZA KLASIČNI BALET;Osnovna škola;Ilirski trg 9;GORNJI GRAD - MEDVEŠČAK;45.819214;15.975431;10544913321;399073.12;166
"CENTAR ZA ODGOJ I OBRAZOVANJE ""GOLJAK""";Osnovna škola;Goljak 2;GORNJI GRAD - MEDVEŠČAK;45.818899;15.963887;68314794212;391802.98;206
GLAZBENA ŠKOLA ZLATKA BALOKOVIĆA;Osnovna škola;Ivanićgradska ulica 41A;PEŠČENICA - ŽITNJAK;45.808221;16.01779;68085752153;336613.81;164
GLAZBENA ŠKOLA ZLATKA GRGOŠEVIĆA;Osnovna škola;Ulica Ivana Gorana Kovačića 19;SESVETE;45.829066;16.117465;54566509173;303161.58;124
OSNOVNA GLAZBENA ŠKOLA IVANA ZAJCA;Osnovna škola;Ilica 227;ČRNOMEREC;45.814513;15.936961;23739786972;273060.20;132
ŠKOLA SUVREMENOG PLESA ANE MALETIĆ;Osnovna škola;Ulica Matka Laginje 13;DONJI GRAD;45.813;15.992809;88059473763;244208.05;187
OSNOVNA GLAZBENA ŠKOLA RUDOLFA MATZA;Osnovna škola;Selska cesta 114;TREŠNJEVKA - SJEVER;45.798165;15.943016;70516740360;201165.70;139
Kazalište Mala scena;Kulturna ustanova;Medveščak 2;;45.819689;15.979587;85272447703;153800.00;24
"MEĐUNARODNA OSNOVNA ŠKOLA ""VEDRI OBZORI""";Osnovna škola;Sveti Duh 122;ČRNOMEREC;45.826436;15.937946;10305984252;58067.45;36
Hrvatski glazbeni zavod;Kulturna ustanova;Gundulićeva ulica 6-6A;;45.812444;15.971928;93966915493;33750.00;10
Hrvatski povijesni muzej;Kulturna ustanova;Ulica Antuna G. Matoša 9;;45.816012;15.972386;10624495854;30760.00;3
"GLAZBENA ŠKOLA ""BONAR""";Osnovna škola;Ulica Drage Gervaisa 13;STENJEVEC;45.800359;15.893383;64520260081;29823.74;25
GLAZBENA ŠKOLA LADISLAV RAČIĆ;Osnovna škola;Park Ribnjak 1;GORNJI GRAD - MEDVEŠČAK;45.81593;15.980052;89545645755;25239.38;23
GLAZBENA ŠKOLA BRKANOVIĆ;Osnovna škola;Trg kralja Tomislava 18;DONJI GRAD;45.806788;15.97783;54518408379;23991.38;23
OSNOVNA GLAZBENA ŠKOLA SCHOLA MUSICA;Osnovna škola;Srebrnjak 66;MAKSIMIR;45.822509;15.994644;43954444501;12215.72;13
"GLAZBENA ŠKOLA ""MUZIČKI ATELJE""";Osnovna škola;Ulica Augusta Harambašića 14;MAKSIMIR;45.816467;16.007504;12543703761;11119.00;11
Hrvatski državni arhiv;Kulturna ustanova;Trg Marka Marulića 21;;45.806293;15.970154;46144176176;3035.79;9
"Klinički bolnički centar ""Zagreb""";Zdravstvena ustanova;Gundulićeva ulica 5;;45.812388;15.972164;46377257342;767.81;28
Villa Brezovica Nova d.o.o.;Dom za starije;Desprimska ulica 1A, Drežnik Brezovički;;45.721754;15.901448;;;
Kuća svetog Franje;Dom za starije;Ulica svetog Izidora 5, Odra;;45.728607;15.993507;;;
Rezidencija Kastelan;Dom za starije;Sisačka cesta 65B;;45.748509;15.969277;;;
Sveta Ana;Dom za starije;Islandska ulica 2;;45.771926;15.989385;;;
Pejaković;Dom za starije;I. Petruševec 24C;;45.774487;16.056573;;;
Jurakić;Dom za starije;Žitnjak 67;;45.782092;16.061667;;;
Trnje;Dom za starije;Poljička ulica 12;;45.797723;15.964663;;;
Trešnjevka;Dom za starije;Trg Slavoljuba Penkale 1;;45.798733;15.942154;;;
Peščenica;Dom za starije;Donje Svetice 89;;45.803961;16.015617;;;
Park;Dom za starije;Ivanićgradska ulica 52;;45.804464;16.019301;;;
Centar;Dom za starije;Ulica Vjekoslava Klaića 10;;45.809202;15.965734;;;
Medveščak;Dom za starije;Trg Drage Iblera 8;;45.812774;15.984669;;;
Sanatorij Av-Vitalis;Dom za starije;Vogelska ulica 18;;45.815785;15.871463;;;
Sveti Josip;Dom za starije;Dunjevac 17;;45.819416;15.940809;;;
Maksimir;Dom za starije;Hegedušićeva ulica 20;;45.821161;16.027883;;;
Sanatorij Ćorluka;Dom za starije;Orešje 5B;;45.824935;15.882915;;;
Dubrava;Dom za starije;Ulica Milovana Gavazzija 26;;45.836794;16.062927;;;
Remete;Dom za starije;Remete 44A;;45.840832;15.997657;;;
Ksaver;Dom za starije;Nemetova ulica 2;;45.842191;15.972239;;;
Branovečina;Dom za starije;Branovečina 17;;45.852716;16.07957;;;
Centar;Dom za starije;Ulica Đure Crnatka 14;;45.804591;15.967507;;;
Maksimir;Dom za starije;Aleja Antuna  Augustinčića 1;;45.818551;16.023628;;;
Sveti Josip;Dom za starije;Topnička ulica 29;;45.817077;15.940033;;;
Trešnjevka;Dom za starije;Drenovačka ulica 30;;45.797187;15.957466;;;
Bene Vita;Dom za starije;Bukovac gornji 19D;;45.840616;16.016248;;;
Bene Vita;Dom za starije;Ulica Anđele Horvat 1A;;45.849854;16.001141;;;
Dom zaklade Lavoslava Schwarza;Dom za starije;Bukovačka cesta 55;;45.82453;16.009938;;;
Marijan;Dom za starije;Žerjavinečka ulica 13, Soblinec;;45.865055;16.158091;;;
Novak;Dom za starije;Sunčana ulica 14;;45.853995;16.06332;;;
Tiha dob;Dom za starije;Bukovačka cesta 294;;45.844971;15.99915;;;
Trag plus;Dom za starije;Osekovska ulica 18;;45.807788;16.018896;;;
Javiljak Indira;Dom za starije;Velika cesta 79, Odra;;45.737287;16.003581;;;
SeneCura dom za starije i nemoćne Trešnjevka;Dom za starije;Jezerska ulica 24A;;45.798791;15.927218;;;
Bizek;Dom za starije;Bizek I. 5;;45.825341;15.855094;;;
SeneCura dom za starije i nemoćne Sesvete;Dom za starije;Brestovečka ulica 130, Sesvete;;45.83966;16.089259;;;
SeneCura dom za starije i nemoćne Sesvete;Dom za starije;Brestovečka ulica 130A, Sesvete;;45.839744;16.089265;;;
Sirovina Branka;Dom za starije;Črna voda 24A;;45.864162;15.994997;;;
Golubić Marija;Dom za starije;Cesta Ivana Mažuranića 108, Kašina;;45.915161;16.123829;;;
Buzin;Dom za starije;Cebini 37, Buzin;;45.747179;15.995476;;;
Dom Dominike j.d.o.o;Dom za starije;Sesvetska cesta 46A, Sesvete;;45.82354;16.130394;;;
Kramarić Šimić Ines;Dom za starije;Potočani 35A;;45.85916;15.952141;;;
Medveščak;Dom za starije;Martićeva ulica 4;;45.812078;15.985082;;;
Ptiček Robert;Dom za starije;Prugina ulica 28;;45.798873;15.932983;;;
Park;Dom za starije;Lašćinska cesta 98A;;45.828505;15.997253;;;
Bene Vita;Dom za starije;IX. Bukovački ogranak 8;;45.84464;16.006346;;;
Ivana Biško;Dom za starije;Ulica joha 1;;45.82305;16.069105;;;
Marcel Domgjonaj;Dom za starije;Tržna ulica 7;;45.829055;16.047859;;;
Dom za starije osobe i nemoćne osobe Jurakić - dislocirani objekt Rosenberg;Dom za starije;Kempfova ulica 6;;45.813143;15.89161;;;
Danijela Karačić;Dom za starije;Rim 102;;45.84181;15.990757;;;
Smiljana Topolovec;Dom za starije;Markuševečka cesta 76A;;45.870166;16.002391;;;
Dom Duga;Dom za starije;Prilaz baruna Filipovića 1;;45.811268;15.946591;;;
Dom Medimar Prigorje;Dom za starije;Ninska ulica 22A;;45.826675;16.10656;;;
Dom Medisal;Dom za starije;Čulinečka cesta 2B;;45.827709;16.062869;;;
Dom Mihela;Dom za starije;Ulica Dragutina Domjanića 10, Sesvete;;45.817927;16.181012;;;
Dom Petra;Dom za starije;Šoštarići 2, Adamovec;;45.894748;16.169869;;;
Ježdovec;Dom za starije;Ježdovečka ulica 108E, Ježdovec;;45.778634;15.841706;;;
Ježdovec;Dom za starije;Ježdovečka ulica 108I, Ježdovec;;45.778838;15.841404;;;
Ježdovec;Dom za starije;Ježdovečka ulica 108P, Ježdovec;;45.779074;15.841294;;;
Zlatna Jutra;Dom za starije;Sisačka cesta IV. odvojak 18B;;45.749304;15.964907;;;
"Zaklada ""Zajednički put""";Dom za starije;Miljackina ulica 42A;;45.792916;15.999387;;;
Udruga Mirna dolina;Dom za starije;Zeleni vijenac 18, Lužan;;45.884581;16.193668;;;
"Zaklada ""Zajednički put""";Dom za starije;Hrgovići 93A;;45.782578;15.92601;;;
Starjački Zlatko;Dom za starije;Prigorska ulica 5, Belovar, Moravče;;45.88255;16.1726;;;
Maslać Pero;Dom za starije;Štrokinec 26;;45.810122;15.871804;;;
Franjić Ivanka;Dom za starije;Radmanovačka ulica 2a;;45.766613;15.96806;;;
Juhart Filip;Dom za starije;Čučerska cesta 57;;45.863461;16.055484;;;
Maljak Ivana;Dom za starije;Galovići 30;;45.846229;15.925112;;;
Mijoković Sonja;Dom za starije;Ulica Mirka Račkog 25, Sesvetski Kobiljak;;45.827122;16.154749;;;
Nemet Vedran;Dom za starije;Mlinovi 159;;45.852593;15.958201;;;
Ruk Martina;Dom za starije;Kumrovečka ulica 12, Soblinec;;45.864596;16.151249;;;
PEGO medical d.o.o.;Dom za starije;Vrhovec 48;;45.819122;15.947885;;;
Dom za starije osobe Duga II;Dom za starije;Horvaćanska cesta 23;;45.787027;15.951415;;;
Dom za starije osobe Omea;Dom za starije;Braće Domany 6;;45.789552;15.938041;;;
Centar inkluzije j.d.o.o.;Dom za starije;Novačka ulica 309;;45.854561;16.034515;;;
BK GARDEN;Dom za starije;Resnički put 126;;45.813091;16.065913;;;
SESTRA GROZDANA j.d.o.o.;Dom za starije;Željeznička ulica 9;;45.81482;16.1741;;;
DRUGI DOM KATARINA;Dom za starije;Novačka 182;;45.849408;16.036627;;;
DOM MARKOVIĆ;Dom za starije;Jordanovac 97;;45.825413;16.002201;;;
EDEN STAR;Dom za starije;Velenjska 2;;45.830098;16.039922;;;
VEBOR DOM j.d.o.o.;Dom za starije;Bukovac Gornji 174;;45.847727;15.999869;;;
DOM MIHELA;Dom za starije;Sopnička 27G;;45.818619;16.096604;;;
Dom za starije osobe Dubrava Zagreb - Podružnica Markuševec;Dom za starije;Štefanovec 170;;45.875791;16.015816;;;
Dom za starije osobe Senior Garden;Dom za starije;Slavonska avenija 74;;45.801315;16.068487;;;
Lovrić-liburna j.d.o.o.;Dom za starije;Hercegovačka ulica 25;;45.814354;15.956944;;;
Kreativni fokus d.o.o.;Dom za starije;Zelengaj 51;;45.830588;15.965899;;;
Kulturni centar Dubrava;Kulturna ustanova;Dubrava 51;;45.829627;16.054104;;;
Kulturno informativni centar KIC;Kulturna ustanova;Preradovićeva ulica 5;;45.811457;15.974347;;;
Kulturni centar Travno - KUC;Kulturna ustanova;Ulica Božidara Magovca 17;;45.771184;15.99496;;;
Posudionica i radionica narodnih nošnji;Kulturna ustanova;Ulica baruna Trenka 1;;45.807432;15.977506;;;
Centar kulture na Peščenici - KNAP;Kulturna ustanova;Ivanićgradska ulica 41A;;45.808221;16.01779;;;
Pučko otvoreno učilište - POU;Kulturna ustanova;Ulica grada Vukovara 68;;45.799316;15.971301;;;
Dom kulture Prečko;Kulturna ustanova;Prečko 2A;;45.793228;15.904737;;;
"Centar za kulturu i obrazovanje ""Zagreb""";Kulturna ustanova;Ulica grada Vukovara 68;;45.799316;15.971301;;;
Centar za promicanje tolerancije i očuvanje sjećanja na holokaust;Kulturna ustanova;Ulica Koste Vojnovića 15;;45.812149;15.991332;;;
